no_mec,IDCARD_intersection,IDCARD_all,IDCARD_pct
10015704199,20688,23860,0.8670578373847443
10015706162,140117,162228,0.8637041694405405
10015706373,1,1,1.0
10015728701,12,19,0.631578947368421
10015763879,57007,58281,0.9781403888059573
10015764273,30,407,0.07371007371007371
10015764787,7490,12371,0.6054482256891116
10015767991,66129,69833,0.9469591740294703
10015768245,2126,3359,0.6329264662101816
10015771984,313,319,0.9811912225705329
10015772018,1271,1334,0.9527736131934033
10015790921,50104,69491,0.7210142320588278
10015791021,17812,35338,0.5040466353500481
10015791209,8502,19358,0.43919826428350034
10015810174,55014,63171,0.8708742935840813
10015812165,1683,14986,0.11230481782997465
10015815831,1,7,0.14285714285714285
10015830843,10710,11897,0.9002269479700765
10015835603,5,5,1.0
10015862359,7123,7702,0.9248247208517268
10015864341,409,445,0.9191011235955057
10015866424,905,4357,0.20771172825338535
10015869339,190,198,0.9595959595959596
10015873450,1,3,0.3333333333333333
10015874209,2,2,1.0
10015874731,14637,18917,0.773748480202992
10015875602,4715,13320,0.35397897897897895
10015877464,3596,4458,0.8066397487662629
10015878630,90531,114301,0.7920403146079212
10015879024,1,1,1.0
10015880720,621,735,0.8448979591836735
10015880840,401,410,0.9780487804878049
10015888608,56493,60897,0.927681166559929
10015911459,602,4643,0.12965754899849236
10015916166,58476,62855,0.9303317158539496
10015916365,20814,21172,0.9830908747402229
10015921623,2126,2244,0.9474153297682709
10015923677,3911,6517,0.600122755869265
10015923840,1,5,0.2
10015923927,309,310,0.9967741935483871
10015924266,59085,67442,0.8760861184425136
10015925527,83,217,0.3824884792626728
10015936693,610,636,0.9591194968553459
10015944928,194,204,0.9509803921568627
10015946267,738,2284,0.3231173380035026
10015994345,7340,7851,0.9349127499681569
10015994365,2179,2295,0.9494553376906318
10016039762,13,18,0.7222222222222222
10016041945,560,1430,0.3916083916083916
10016041954,1262,5137,0.2456686782168581
10016043198,647,1462,0.4425444596443228
10016043825,600,1189,0.5046257359125316
10016043908,277,797,0.3475533249686324
10016044002,576,2280,0.25263157894736843
10016044108,167,522,0.31992337164750956
10016044354,59,173,0.34104046242774566
10016056767,5901,6399,0.9221753398968588
10016059418,61,289,0.21107266435986158
10016059998,49,124,0.3951612903225806
10016100873,2137,3356,0.6367699642431466
10016109994,1,1,1.0
10016129649,81,649,0.12480739599383667
10016133797,2,4,0.5
10016140449,13,177,0.07344632768361582
10016189109,1272,1327,0.9585531273549359
10016203267,113499,121406,0.9348714231586577
10016246234,71,412,0.17233009708737865
10016247026,8895,15586,0.5707044783780316
10016247299,16112,16509,0.9759525107517112
10016247639,202106,225000,0.8982488888888889
10016254945,228771,268066,0.8534129654637291
10016290003,7,26,0.2692307692307692
10016293443,290888,364339,0.7983992929661661
10016293988,1,1,1.0
10016294780,123,135,0.9111111111111111
10016310504,10,25,0.4
10016321570,750521,886475,0.8466352689021123
10016356317,5,91,0.054945054945054944
10016363541,4664,25665,0.18172608610948762
10016363870,1,1,1.0
10016368473,8,363,0.02203856749311295
10016368761,22428,23643,0.9486105824133994
10016371156,1,2,0.5
10016377761,5321,7209,0.7381051463448467
10016387225,4,4,1.0
10016417748,944,993,0.9506545820745217
10016731578,23,167,0.1377245508982036
10016738204,1827,6141,0.2975085490962384
10017051785,4053,4190,0.9673031026252983
10017070168,776,852,0.9107981220657277
10017071221,7141,8341,0.856132358230428
10017074860,1707,1979,0.8625568468923699
10017103555,5,54,0.09259259259259259
10017123829,8,63,0.12698412698412698
10017137744,185,193,0.9585492227979274
10017139343,144,145,0.993103448275862
10017146291,3261,4079,0.7994606521206178
10017148640,1782,1816,0.9812775330396476
10017179136,1,1,1.0
10017179421,307662,1134891,0.2710938759757545
10017268303,69,223,0.3094170403587444
10017279592,489,542,0.9022140221402214
10017282813,5,43,0.11627906976744186
10017304381,29,46,0.6304347826086957
10017309950,32781,36521,0.89759316557597
10017327990,20,204,0.09803921568627451
10017328780,53,466,0.11373390557939914
10017331956,3298,7706,0.4279781988061251
10017337672,50,54,0.9259259259259259
10017357815,57,134,0.4253731343283582
10017392096,6,83,0.07228915662650602
10017437294,158,772,0.20466321243523317
10017439019,10676,11517,0.9269775115047322
10017441468,8019,9146,0.8767767329980319
10017482556,4,17,0.23529411764705882
10017487502,1667,2417,0.6896979726934216
10017565576,4,7,0.5714285714285714
10017626750,27186,28138,0.9661667495913
10017667433,1,1,1.0
