no_mec,month,flag_overdue,IDCARD,fpd
10015071983,2018-03,3,37,0.08108108108108109
10015071983,2018-04,1,12,0.08333333333333333
10015071983,2018-05,1,1,1.0
10015071983,2018-06,0,1,0.0
10015071983,2018-08,0,2,0.0
10015071983,2018-09,3,9,0.3333333333333333
10015078231,2018-01,3,3,1.0
10015078231,2018-03,2,40,0.05
10015078231,2018-04,0,27,0.0
10015078231,2018-05,5,188,0.026595744680851064
10015078231,2018-06,5,16,0.3125
10015078231,2018-07,2,6,0.3333333333333333
10015078231,2018-08,1,5,0.2
10015078231,2018-09,0,3,0.0
10015089427,2018-01,4972,13688,0.36323787258912915
10015089427,2018-02,2662,9516,0.27973938629676337
10015089427,2018-03,7727,14528,0.5318694933920705
10015089427,2018-04,3261,10762,0.30301059282661214
10015089427,2018-05,2283,5807,0.3931462028586189
10015089427,2018-06,1809,4519,0.40030980305377295
10015089427,2018-07,1014,2580,0.3930232558139535
10015089427,2018-08,1819,10772,0.1688637207575195
10015089427,2018-09,505,1347,0.3749072011878248
10015116321,2018-01,2,2,1.0
10015116321,2018-02,1,4,0.25
10015116321,2018-04,2,3,0.6666666666666666
10015117411,2018-01,3272,51158,0.06395871613432894
10015117411,2018-02,1342,15693,0.08551583508570701
10015117411,2018-03,40,2892,0.013831258644536652
10015133531,2018-01,1616,5018,0.3220406536468713
10015133531,2018-02,3,261,0.011494252873563218
10015133531,2018-03,0,167,0.0
10015133531,2018-04,0,15,0.0
10015139460,2018-01,436,110835,0.003933775431948392
10015139460,2018-02,448,275076,0.0016286408119937762
10015139460,2018-03,59,50291,0.0011731721381559325
10015139460,2018-04,1,1827,0.0005473453749315818
10015147303,2018-01,1055,1279,0.8248631743549648
10015147303,2018-02,164,246,0.6666666666666666
10015147303,2018-03,38,73,0.5205479452054794
10015147303,2018-04,10,29,0.3448275862068966
10015147303,2018-05,7,11,0.6363636363636364
10015147303,2018-06,3,5,0.6
10015147303,2018-07,0,3,0.0
10015185541,2018-01,1,1,1.0
10015191453,2018-01,9351,14525,0.6437865748709122
10015191453,2018-02,1186,1580,0.7506329113924051
10015191453,2018-03,154,188,0.8191489361702128
10015191453,2018-04,0,240,0.0
10015191453,2018-05,0,53,0.0
10015191453,2018-06,468,3022,0.15486432825943083
10015191453,2018-08,3,7,0.42857142857142855
10015205935,2018-01,0,7,0.0
10015205935,2018-02,1,6,0.16666666666666666
10015205935,2018-03,50,6799,0.007354022650389763
10015205935,2018-04,0,1,0.0
10015205935,2018-06,0,1,0.0
10015307974,2018-01,25021,26550,0.9424105461393597
10015307974,2018-02,2245,2508,0.8951355661881978
10015307974,2018-03,734,879,0.8350398179749715
10015307974,2018-04,5627,6195,0.9083131557707829
10015307974,2018-05,39161,40512,0.9666518562401264
10015307974,2018-06,8319,8654,0.9612895770741854
10015307974,2018-07,875,959,0.9124087591240876
10015307974,2018-08,74,81,0.9135802469135802
10015307974,2018-09,21,24,0.875
10015390594,2018-01,328,1599,0.20512820512820512
