no_mec,month,IDCARD
10015676603,2017-10,142
10015676603,2018-01,3
10015676603,2018-02,3
10015676603,2018-03,8
10015676603,2018-04,2
10015676723,2017-10,2
10015676723,2018-01,2
10015676723,2018-03,1
10015676907,2018-01,2096
10015676907,2018-02,3143
10015676907,2018-03,3156
10015676907,2018-04,5629
10015676907,2018-06,2382
10015676907,2018-07,4173
10015676907,2018-08,3520
10015676907,2018-09,1250
10015676913,2017-10,906
10015676913,2018-01,5938
10015676913,2018-02,2983
10015676913,2018-03,1462
10015676913,2018-04,792
10015676913,2018-06,282
10015676913,2018-07,218
10015676913,2018-08,160
10015676913,2018-09,14
10015676983,2017-10,7
10015676983,2018-01,35
10015676983,2018-02,34
10015676983,2018-03,25
10015676983,2018-04,27
10015676983,2018-06,83
10015676983,2018-07,130
10015676983,2018-08,159
10015676983,2018-09,174
10015677328,2018-01,1
10015688678,2017-10,1
10015688678,2018-01,139
10015688678,2018-02,14
10015688678,2018-03,1
10015688678,2018-04,1
10015688678,2018-06,3
10015688678,2018-07,2
10015688678,2018-08,1
10015689254,2017-09,1
10015689254,2017-10,3
10015689254,2018-01,52
10015689254,2018-02,46
10015689254,2018-03,43
10015689254,2018-04,44
10015689254,2018-06,42
10015689254,2018-07,40
10015689254,2018-08,40
10015689254,2018-09,40
10015689526,2018-01,96
10015689550,2017-10,1
10015691233,2017-09,1
10015691233,2017-10,7
10015691233,2018-01,9796
10015691233,2018-02,6116
10015691233,2018-03,4891
10015691233,2018-04,768
10015691233,2018-06,19159
10015691233,2018-07,9123
10015691233,2018-08,30038
10015691233,2018-09,68200
10015691603,2018-01,34
10015691603,2018-02,20
10015691603,2018-03,36
10015691603,2018-04,33
10015691603,2018-06,73
10015691603,2018-07,80
10015691603,2018-08,101
10015691603,2018-09,114
10015691684,2017-10,4
10015691825,2018-03,2
10015691825,2018-04,3
10015692453,2017-10,7
10015692453,2018-01,2
10015692453,2018-02,330
