no_mec,month,IDCARD,amt_1st
10014742519,2018-07,69,2430.120869565217
10014742519,2018-08,65,2755.1706153846158
10014742519,2018-09,63,2180.6452380952383
10014745825,2017-09,26237,961.1626922491243
10014745825,2017-10,30222,997.4474193335313
10014745825,2018-01,15253,1049.3023665923693
10014745825,2018-02,13590,1065.933688856197
10014745825,2018-03,21681,950.1094829574281
10014745825,2018-04,9738,786.9454097350585
10014745825,2018-06,4072,1568.548831168831
10014745825,2018-07,6069,1500.5064857051075
10014745825,2018-08,6864,1414.0108560367075
10014745825,2018-09,9194,1288.8600275686565
10014758227,2017-10,4879,1276.8035202619772
10014758227,2018-01,10225,1377.2078878048867
10014758227,2018-02,11574,1544.7531356662707
10014758227,2018-03,8335,1729.1093566550903
10014758227,2018-04,7761,1821.4932440782727
10014758227,2018-06,3355,1890.5356184798793
10014758227,2018-07,3668,1815.9200436204978
10014758227,2018-08,3897,1753.8765393488814
10014758227,2018-09,4516,1889.2777603360546
10014758749,2018-01,863,6084.146615553125
10014758749,2018-02,1505,4629.345692116692
10014758749,2018-03,1414,4832.085468644636
10014758749,2018-04,1875,5782.415536159603
10014758749,2018-06,874,6244.447740863791
10014758749,2018-07,1076,5772.768411712517
10014758749,2018-08,1185,5119.158566878983
10014758749,2018-09,1906,5597.747850070716
10014758853,2018-01,22049,2255.2612698555295
10014758853,2018-02,24890,1788.5394446209957
10014758853,2018-03,29014,1866.9642270105903
10014758853,2018-04,41244,1403.3078234168652
10014758853,2018-06,76494,2084.160119455192
10014758853,2018-07,239350,1812.516376349952
10014758853,2018-08,295400,1830.2183373194566
10014758853,2018-09,149092,1855.2226453490682
10014787223,2017-09,128,324.14585937500004
10014787223,2017-10,79,262.4529113924051
10014787223,2018-01,12,176.255
10014787223,2018-02,12,185.02583333333334
10014789504,2017-09,21486,994.521646166662
10014789504,2017-10,35688,1065.8574078492557
10014789504,2018-01,30786,1222.4765451061132
10014789504,2018-02,16533,924.6360225004663
10014789504,2018-03,7232,946.3646225110809
10014789504,2018-04,3808,951.6631801470601
10014793114,2017-09,80510,2144.859869605096
10014793114,2017-10,96202,2170.969825664507
10014793114,2018-01,3494,905.5382884945623
10014793114,2018-02,3505,1173.6220313837375
10014793114,2018-03,995,365.60955778894476
10014793114,2018-04,1898,1041.9074920969438
10014793114,2018-06,9750,1622.4310962978202
10014793114,2018-07,1839,1400.533909733549
10014793114,2018-08,968,1056.9515416238378
10014793114,2018-09,1249,1037.8742551505545
10014804668,2017-09,410222,1425.817713854658
10014804668,2017-10,421776,1617.8990423810285
10014804668,2018-01,36109,851.0342236849365
10014804668,2018-02,14352,963.7275363321828
10014804668,2018-03,24266,834.0557255611284
10014804668,2018-04,40831,721.0875784610876
10014804668,2018-06,15925,633.1780245829679
10014804668,2018-07,10058,600.7882258224846
10014804668,2018-08,2505,593.4440031897946
10014804708,2017-09,384543,2066.5605509100997
10014804708,2017-10,439542,2187.470021865019
10014804708,2018-01,5957,707.2389172402216
10014804708,2018-02,9817,1068.9611336321043
10014804708,2018-03,20408,1074.875679290579
